Headword,Related word forms,SFI,U,D
abdominal,abdominals,50.888,12,5.733
absorb,"absorbed, absorbing, absorbs",55.197,33,845
absorption,,55.479,35,8.391
accelerate,"accelerated, accelerates, accelerating",54.671,29,808
acceleration,,55.071,32,4.301
accent,"accented, accenting, accents",54.904,31,7.943
accumulate,"accumulated, accumulates, accumulating",55.566,36,9.127
accumulation,accumulations,55.973,40,9.129
accuracy,,58.315,68,8.824
accurately,,54.63,29,9.544
acid,acids,61.719,149,6.212
acidic,,48.035,6,6.632
activate,"activated, activates, activating",58.462,70,6.435
actively,,53.924,25,895
acute,,57.723,59,556
adaptation,adaptations,58.308,68,7.642
adaptive,,56.439,44,8.593
adjacent,,56.556,45,8.801
admission,admissions,54.844,31,8.687
adolescent,adolescents,58.461,70,7.521
adverse,,55.387,35,6.694
aerosol,aerosols,43.708,2,7.136
aesthetic,"aesthetics, esthetic, esthetics",56.408,44,8.161
affirm,"affirmed, affirming, affirms",51.347,14,7.872
afterward,afterwards,51.275,13,8.644
aggregate,"aggregated, aggregates, aggregating",57.643,58,8.103
agriculture,agricultures,56.397,44,9.032
airplane,"aeroplane, aeroplanes, airplanes",46.596,5,7.743
algebra,algebras,56.842,48,6.641
algorithm,algorithms,61.252,133,6.218
alien,aliens,52.156,16,8.875
alliance,alliances,54.553,29,6.838
allocate,"allocated, allocates, allocating",54.143,26,8.308
allocation,allocations,55.697,37,8.014
altitude,altitudes,50.681,12,7.922
aluminum,aluminium,49.867,10,7.693
amino,,56.785,48,5.223
amongst,,55.515,36,8.133
amplitude,amplitudes,58.308,68,7.109
analogy,analogies,55.392,35,9.522
ancestor,ancestors,53.712,24,8.173
anthropology,anthropologies,53.282,21,3.948
anti,,51.771,15,8.873
antibiotic,antibiotics,53.276,21,5.182
antibody,antibodies,59.649,92,4.467
antiquity,antiquities,51.252,13,6.143
appendix,"appendices, appendixes",56.838,48,8.392
applause,,42.343,2,679
apple,apples,50.807,12,923
approximate,"approximated, approximates, approximating",56.929,49,7.195
approximation,approximations,58.602,72,6.476
arbitrary,,57.817,60,8.984
archaeology,,57.178,52,409
architect,architects,54.109,26,6.427
array,arrays,57.299,54,7.561
arrow,"arrowed, arrowing, arrows",56.304,43,9.056
articulate,"articulated, articulates, articulating",55.439,35,8.741
artifact,"artefact, artefacts, artifacts",54.477,28,7.619
artificial,,56.221,42,9.313
artistic,,53.283,21,7.334
artwork,artworks,45.22,3,5.665
aspect,aspects,64.19,262,9.385
assembly,assemblies,56.669,46,9.245
assert,"asserted, asserting, asserts",56.805,48,8.349
assignment,assignments,56.09,41,9.262
athletic,athletics,43.62,2,7.993
atom,atoms,57.173,52,6.215
atomic,,53.775,24,6.684
auction,"auctioned, auctioning, auctions",47.752,6,4.671
audio,,50.308,11,9.181
audit,"audited, auditing, audits",51.017,13,6.452
authority,authorities,62.502,178,7.929
autonomy,,57.139,52,9.029
availability,,56.633,46,8.715
axiom,axioms,53.221,21,5.937
axis,,58.672,74,6.041
backward,backwards,54.031,25,9.729
bacteria,,52.311,17,5.557
bacterial,,54.733,30,4.646
bang,"banged, banging, bangs",44.77,3,8.544
bargain,"bargained, bargaining, bargains",52.994,20,7.559
barrel,"barreled, barreling, barrelled, barrelling, barrels",47.735,6,8.861
basin,basins,54.858,31,7.141
bat,"bats, batted, batting",52.83,19,9.644
beam,"beamed, beaming, beams",59.017,80,585
behavioral,behavioural,59.549,90,7.084
bilingual,,59.488,89,5.905
binary,binaries,55.168,33,665
biodiversity,,50.153,10,7.142
biologist,biologists,49.565,9,8.437
biology,biologies,57.114,51,8.118
bizarre,,47.216,5,8.821
blank,"blanked, blanking, blanks",50.569,11,9.188
bleed,"bled, bleeding, bleeds",51.17,13,6.012
bodily,,51.446,14,8.043
bonus,bonuses,46.047,4,5.973
bound,"bounded, bounding, bounds",61.142,130,9.024
bracket,"bracketed, brackets, bracketted",52.56,18,7.494
breakdown,breakdowns,54.084,26,0.82
broadly,,54.209,26,9.034
bubble,"bubbled, bubbles, bubbling",52.573,18,8.832
bucket,buckets,46.689,5,5.456
bulk,"bulked, bulking, bulks",54.327,27,9.305
bullet,bullets,45.326,3,8.308
bundle,"bundled, bundles, bundling",53.882,24,8.848
calcium,,56.669,46,6.556
calculation,calculations,59.182,83,8.207
calculator,calculators,41.841,2,6.326
calculus,,57.014,50,6.738
campus,campuses,47.053,5,883
candidate,candidates,59.726,94,8.945
capillary,capillaries,52.236,17,5.262
capitalism,,53.954,25,6.964
capitalist,capitalists,53.876,24,7.731
carrier,carriers,54.47,28,8.056
cattle,,56.069,40,8.624
censor,"censored, censoring, censors",48.281,7,6.834
characterization,"characterisation, characterisations, characterizations",56.957,50,6.323
cheat,"cheated, cheating, cheats",46.023,4,9.163
cheer,"cheered, cheering, cheers",43.81,2,777
chemistry,,53.225,21,8.533
chemotherapy,,52.248,17,5.637
chess,,43.564,2,5.698
chloride,chlorides,50.526,11,7.616
chromosome,chromosomes,58.774,75,5.353
chronic,,58.07,64,5.295
chunk,"chunked, chunking, chunks",50.02,10,9.086
cinema,cinemas,48.811,8,5.888
circa,,43.488,2,2.579
circulate,"circulated, circulates, circulating",53.573,23,8.887
circulation,,55.629,37,8.416
civilization,"civilisation, civilisations, civilizations",54.785,30,7.609
clarify,"clarified, clarifies, clarifying",54.827,30,9.596
classification,classifications,58.542,71,8.165
classify,"classified, classifies, classifying",57.937,62,8.752
classroom,classrooms,57.072,51,6.934
clay,,52.029,16,7.998
clever,"cleverer, cleverest",47.03,5,8.907
click,"clicked, clicking, clicks",49.004,8,8.023
client,clients,56.96,50,8.043
clinic,clinics,54.145,26,7.871
clip,"clipped, clipping, clippings, clips",48.398,7,9.518
clone,"cloned, clones, cloning",55.741,38,5.713
closure,closures,56.642,46,7.376
clue,clues,52.362,17,9.662
coefficient,coefficients,60.834,121,6.528
cognitive,,62.068,161,7.067
coherent,,54.801,30,942
collective,collectives,57.824,61,8.232
colonial,colonials,59.37,86,7.868
colony,colonies,56.871,49,8.483
comma,commas,47.236,5,5.475
commentary,commentaries,56.292,43,7.984
commodity,commodities,53.805,24,8.349
commonly,,58.322,68,8.139
communicative,,54.003,25,6.916
communist,communists,53.467,22,7.881
compact,"compacted, compacting, compacts",57.786,60,8.097
comparable,,57.333,54,8.811
comparative,comparatives,58.502,71,8.377
compensate,"compensated, compensates, compensating",53.779,24,9.123
competence,competences,56.8,48,8.107
competent,,51.528,14,8.858
complement,"complemented, complementing, complements",57.666,58,8.728
complication,complications,55.513,36,6.856
comply,"complied, complies, complying",51.017,13,7.746
composer,composers,56.92,49,5.106
composite,,53.91,25,8.342
comprehension,,56.904,49,7.918
computation,computations,57.915,62,7.482
conceive,"conceived, conceives, conceiving",55.644,37,8.336
conception,conceptions,58.038,64,8.575
conceptual,,58.113,65,8.692
conditional,conditionals,57.096,51,7.908
conduction,,50.328,11,7.722
cone,cones,58.244,67,7.777
conference,conferences,58.044,64,9.034
configuration,configurations,58.755,75,7.611
confine,"confined, confines, confining",55.83,38,8.796
confound,"confounded, confounding, confounds",51.531,14,7.793
congruent,,47.982,6,4.938
connector,connectors,43.196,2,5.605
connotation,connotations,49.558,9,687
conscious,,55.656,37,8.406
consciousness,consciousnesses,57.241,53,773
consensus,,56.259,42,8.908
consent,"consented, consenting, consents",55.934,39,7.227
conservation,conservations,56.79,48,8.688
conserve,"conserved, conserves, conserving",54.358,27,8.149
consonant,consonants,57.118,51,7.047
constitution,constitutions,55.072,32,818
constrain,"constrained, constraining, constrains",56.789,48,8.726
consultation,consultations,53.832,24,5.672
consumption,consumptions,59.545,90,9.168
container,containers,51.495,14,8.823
continent,continents,53.458,22,874
continuity,continuities,57.449,56,9.258
contour,"contoured, contouring, contours",55.132,33,8.732
contradict,"contradicted, contradicting, contradicts",53.531,23,9.061
contradiction,contradictions,56.053,40,8.476
contradictory,,52.518,18,8.217
contrary,,57.084,51,8.472
controversy,controversies,55.305,34,8.725
converge,"converged, converges, converging",56.913,49,8.025
convergence,convergences,57.738,59,7.781
coordinate,"coordinated, coordinates, coordinating",59.192,83,7.647
coordination,,54.455,28,8.351
cord,cords,53.838,24,7.452
coronary,,54.101,26,5.953
corpus,,57.611,58,8.295
correction,corrections,56.022,40,8.795
correctly,,55.621,36,9.737
correlate,"correlated, correlates, correlating",59.679,93,8.085
correlation,correlations,61.761,150,861
correspondence,correspondences,58.943,78,7.311
corruption,corruptions,53.582,23,7.999
cortex,"cortexes, cortices",58.305,68,5.937
credibility,,49.993,10,8.591
criteria,,49.642,9,8.689
critically,,51.896,15,8.988
critique,"critiqued, critiques, critiquing",56.647,46,8.113
crude,"cruder, crudest",52.289,17,9.454
crystal,crystals,54.546,28,8.097
cue,"cued, cueing, cues",56.6,46,7.658
cure,"cured, cures, curing",52.528,18,9.043
curriculum,"curricula, curriculums",54.807,30,6.332
cyclic,,52.389,17,7.585
cylinder,cylinders,54.606,29,6.817
damp,"damped, dampest, damping, damps",51.978,16,7.052
deadline,deadlines,44.808,3,6.281
decay,"decayed, decaying, decays",55.661,37,8.148
deceive,"deceived, deceives, deceiving",46.559,5,6.828
defect,"defected, defecting, defects",57.744,59,8.383
deficiency,deficiencies,54.723,30,5.722
definite,,55.167,33,9.637
deflection,deflections,46.573,5,563
degrade,"degraded, degrades, degrading",51.515,14,861
deliberately,,52.25,17,9.049
delta,deltas,49.534,9,5.298
demonstrator,demonstrators,42.26,2,4.078
denominator,denominators,49.23,8,7.634
denote,"denoted, denotes, denoting",62.571,181,7.035
dense,"denser, densest",56.491,45,8.381
dependence,,58.237,67,8.486
depict,"depicted, depicting, depicts",56.61,46,788
derivative,derivatives,56.84,48,7.859
descendent,descendents,38.92,1,2.082
descriptor,descriptors,46.495,4,2.602
destination,destinations,50.462,11,877
detection,,58.103,65,8.549
developmental,,61.171,131,7.063
deviation,deviations,57.786,60,7.201
diagnose,"diagnosed, diagnoses, diagnosing",54.925,31,6.806
diagnosis,,59.844,96,6.205
diagnostic,diagnostics,57.486,56,7.474
